"objectid","iso3cd","romnam","m49code","species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality_reg","quality_glo"
1,"AFG","Afghanistan","4","Eukaryota",NA,2,"Cropland_Intense",5.04045923809991e-12,1.19673423632254,4.50106157184111e-16,0.562209633927086,1.46824027187904e-11,1.28722179193386,1.20746046321911e-15,0.869297850934927,1.72274741143692e-09,1.43117896387077,1.45881079104913e-13,0.821610319271791,5.01318325924756e-09,1.35657296201739,4.02278927995807e-13,1.00762488431019,"proxy_partial","proxy_partial"
1,"AFG","Afghanistan","4","Eukaryota",NA,3,"Cropland_Light",4.03928570141377e-12,1.15775885281163,3.89105115578499e-16,0.522494313183851,1.282228987614e-11,1.29507722565247,1.09767022575302e-15,0.885389536322537,1.38599952012185e-09,1.39838364931592,1.26823819886825e-13,0.810364854980171,4.39962776471424e-09,1.36667452084024,3.68155785818517e-13,1.02712354229123,"proxy_partial","proxy_partial"
1,"AFG","Afghanistan","4","Eukaryota",NA,4,"Cropland_Minimal",2.66070436294705e-12,0.743908183961096,3.47132314728998e-16,0.42814379422849,9.96771763110477e-12,1.36258269660041,1.03445191643326e-15,0.934567525295235,8.13147092815392e-10,0.881651292889244,1.03481510946762e-13,0.514988713258718,3.27569683123634e-09,1.54932671456209,3.31109768845644e-13,1.10181033861135,"original","original"
1,"AFG","Afghanistan","4","Eukaryota",NA,5,"Managed_forest_Intense",1.99168507468344e-12,4.48595530059319,1.79407871262221e-16,0.553990830782112,2.480875350247e-12,4.65478939125481,2.07500261858226e-16,0.71403627913404,6.96523671831856e-10,4.84281959478229,5.37217741884075e-14,0.903259476396218,8.73672096528269e-10,4.98560322064111,6.25973385209515e-14,1.09210216279088,"original","original"
1,"AFG","Afghanistan","4","Eukaryota",NA,6,"Managed_forest_Light",7.37048225714828e-13,2.8699264011855,9.8561477702876e-17,1.89950210444112,9.8626594914459e-13,2.8001848833461,1.39487698028305e-16,2.17178833528524,2.59271360027258e-10,3.0548546797236,3.25029850415191e-14,2.22449469914691,3.53185592160546e-10,2.9382918460949,4.83043807525614e-14,2.47955241984251,"original","original"
1,"AFG","Afghanistan","4","Eukaryota",NA,7,"Managed_forest_Minimal",2.58206282464712e-13,1.20448396523106,2.80617876316484e-17,0.985915546047598,4.42052900935647e-13,0.987677725480228,4.77815404710655e-17,0.901413610040382,7.39355381470187e-11,1.55020316508757,8.00613804185942e-15,1.30316090242406,1.25545353338059e-10,1.2297039409763,1.37014721449183e-14,1.19655824367067,"original","original"
1,"AFG","Afghanistan","4","Eukaryota",NA,8,"Pasture_Intense",4.09654670994541e-12,1.13925047396562,3.98301006013891e-16,0.503385595024799,1.30393695747607e-11,1.29108577613816,1.12695468037346e-15,0.890852711435158,1.40638504866762e-09,1.38326500741352,1.29887589628706e-13,0.788593787548597,4.47560553441144e-09,1.36564314191635,3.77865623885046e-13,1.02896489262996,"proxy_partial","proxy_partial"
1,"AFG","Afghanistan","4","Eukaryota",NA,9,"Pasture_Light",3.48144562435798e-12,1.10273103801952,3.60513606518826e-16,0.47820893145081,1.18990303223367e-11,1.30208501404527,1.05926504476663e-15,0.90530038902173,1.19937308946329e-09,1.35345987995846,1.18052338864699e-13,0.78694791380137,4.09929038429871e-09,1.37924778993105,3.56790006445148e-13,1.0456242413243,"original","original"
1,"AFG","Afghanistan","4","Eukaryota",NA,10,"Pasture_Minimal",2.3311435524191e-12,0.992479937385435,2.85881852920927e-16,0.446376203645244,9.66672634651705e-12,1.34495793271215,9.12878759728548e-16,0.940114706428833,8.06342655954039e-10,1.26544962925482,9.37948818812836e-14,0.801944626457328,3.3378251490088e-09,1.43050483435896,3.08346758753124e-13,1.0865580281793,"original","original"
1,"AFG","Afghanistan","4","Eukaryota",NA,11,"Plantation_Intense",5.733297911991e-12,0,1.31876011510741e-15,0,1.09026921242531e-11,0,2.52875461525813e-15,0,3.28681703606055e-09,0,7.69241716479353e-13,0,6.2559766871789e-09,0,1.47601633435997e-12,0,"original","original"
