"species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality","weighting"
"Eukaryota",NA,2,"Cropland_Intense",3.59820981559388e-12,1.86084597374105,3.0459578365123e-15,2.025357436295,1.06724873090729e-10,18.3149023489397,1.14008290496475e-14,5.30030558276392,1.362044366768e-09,1.7285548203518,8.84551782776829e-13,1.46550121961476,4.19723395347762e-08,18.2387173648186,3.82228433701759e-12,6.07610817942021,"original","land_use"
"Eukaryota",NA,3,"Cropland_Light",2.61519177891291e-12,2.42089219637951,3.1997816703735e-15,2.35695478310112,9.78328458027269e-12,16.4931768950438,9.1118983423999e-15,1.91428205013843,9.21969112647757e-10,1.61005902935711,8.42844094166921e-13,1.86976766888672,3.60946835909406e-09,17.4990472342306,2.56405759545047e-12,1.64407159400685,"original","land_use"
"Eukaryota",NA,4,"Cropland_Minimal",1.96462842248085e-12,4.67299031847084,2.77002354864665e-15,2.83100371181997,5.20815372205984e-12,4.56195801077956,5.69738427659059e-15,2.76893667027003,4.31720846591792e-10,7.18017707090612,3.95484577294577e-13,3.84821493760648,1.15267063569389e-09,6.95385355555039,8.55098041833026e-13,3.59606102639668,"original","land_use"
"Eukaryota",NA,5,"Managed_forest_Intense",2.13935324517271e-12,2.33392671274891,3.78130920876138e-15,1.89549291153731,3.89516130466689e-12,2.12728031044568,7.09559909154324e-15,2.15777932128763,5.80310958092578e-10,2.20205375324294,6.69445942569091e-13,2.10821126467744,1.09054483889736e-09,2.32485950943572,1.27498558350785e-12,2.29994645267486,"original","land_use"
"Eukaryota",NA,6,"Managed_forest_Light",1.15922629026987e-12,2.68406196561489,1.69348370856095e-15,2.61361214690205,2.22016252925413e-12,2.28136964053211,3.22148874899635e-15,2.4729230893772,4.65588211696876e-10,2.94738869706005,4.10352455205303e-13,2.07840457725875,9.20894551443314e-10,2.37511212204712,8.04923351837958e-13,1.99524252720492,"original","land_use"
"Eukaryota",NA,7,"Managed_forest_Minimal",4.21681621588047e-13,4.6203953298326,5.51400977049064e-16,2.65972332610526,7.07817157830259e-13,3.55516814700178,9.26102122272781e-16,2.44536541594753,1.75925498662695e-10,5.11551725939794,1.5314971415001e-13,2.00098671768985,3.0528093579244e-10,3.58605844002249,2.72456491875061e-13,1.9392688510542,"original","land_use"
"Eukaryota",NA,8,"Pasture_Intense",3.30435326273207e-12,1.40361007021152,3.89889933663001e-15,2.12984483503087,5.9070394803272e-11,20.3703690614978,1.21723963732738e-14,3.79800162586376,1.3572290562224e-09,1.35661505381954,1.13162366212199e-12,1.49575036478562,2.36850641940946e-08,19.958711271567,3.74850618630865e-12,4.47089146984817,"original","land_use"
"Eukaryota",NA,9,"Pasture_Light",2.04226758403123e-12,2.18946298513517,2.980388104876e-15,2.1887564383616,7.93471786288949e-12,30.107516739008,8.12204156318056e-15,2.80597460136355,5.72701117409959e-10,3.27223038056579,6.02801902004221e-13,2.15151439485366,2.58520684648865e-09,36.2917683860849,1.73707245299489e-12,2.97212473295758,"original","land_use"
"Eukaryota",NA,10,"Pasture_Minimal",1.04932189604908e-11,2.23267741670797,1.1830316365448e-15,2.75371014598124,1.8768026899866e-11,20.628211555863,3.11223581160946e-15,4.75544974378941,7.13938276236599e-09,2.4111251434134,3.00970575178468e-13,2.35488845149016,1.0929675601039e-08,13.8882481188104,8.86031473608529e-13,5.81714330180608,"original","land_use"
"Eukaryota",NA,11,"Plantation_Intense",5.62160478460785e-12,3.73620493859792,9.56144077406102e-15,1.32240047101189,9.29845252041966e-12,2.80628858116836,1.56560269015855e-14,1.21891657356159,2.26099205735593e-09,2.49107199249096,2.9296684801748e-12,1.07845568363846,3.84215454799251e-09,2.05281877554713,4.77094582461115e-12,1.02459812545589,"original","land_use"
