"objectid","iso3cd","romnam","m49code","species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality_reg","quality_glo"
1,"AFG","Afghanistan","4","Animalia","Animalia",2,"Cropland_Intense",4.07387725608298e-12,0.973284262640816,5.34206064734549e-16,0.46924516933969,1.82041283816784e-11,1.36185885934808,1.75617950164169e-15,0.944760085107259,1.42500747498342e-09,1.2475909039324,1.77418602901302e-13,0.85225623672298,6.34503355129519e-09,1.44596842699744,5.99819002927868e-13,1.09439019777426,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",3,"Cropland_Light",4.07387725608298e-12,0.973284262640816,5.34206064734549e-16,0.46924516933969,1.82041283816784e-11,1.36185885934808,1.75617950164169e-15,0.944760085107259,1.42500747498342e-09,1.2475909039324,1.77418602901302e-13,0.85225623672298,6.34503355129519e-09,1.44596842699744,5.99819002927868e-13,1.09439019777426,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",4,"Cropland_Minimal",3.02806004266726e-12,0.696416882722855,5.06500478639509e-16,0.419346301490718,1.54758518991993e-11,1.49732468645621,1.71691045915142e-15,0.974369560872719,9.46910243831224e-10,0.82634217577831,1.52779245271439e-13,0.505253196847931,5.22308084396958e-09,1.6789398531042,5.59752074520798e-13,1.15096557674981,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",5,"Managed_forest_Intense",1.04131019110294e-12,3.35536345792688,1.89206510712144e-16,0.00264676389730282,1.29354337958878e-12,3.64507864599691,2.16481563178117e-16,0.131043212079779,3.65327523644578e-10,3.86527641186988,5.7045657022264e-14,0.247518652047238,4.59533611428347e-10,4.1293283104506,6.57185204699884e-14,0.415054866226484,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",6,"Managed_forest_Light",2.25962955859534e-13,1.99369340026706,6.27130309694528e-17,0.87621107229869,3.11785306152386e-13,2.07693082797923,9.14355758164479e-17,1.7419607713267,8.0444870461389e-11,2.265513625377,2.08235593485949e-14,1.23320764011922,1.14677928664373e-10,2.30508890396146,3.25498106883323e-14,2.16651207767031,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",7,"Managed_forest_Minimal",5.41080316663398e-14,0.784109961584772,1.27946449581416e-17,0.391037725880905,1.09764505079435e-13,0.857055250103949,2.50102941310835e-17,0.709688857957427,1.61943125938573e-11,1.01279977795081,3.7939093634988e-15,0.597846503828304,3.25917527318256e-11,0.946734093649078,7.464405286525e-15,0.914748806765503,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",8,"Pasture_Intense",4.19493636357248e-12,0.948808365452037,5.50983915309862e-16,0.448230103672879,1.86665340087652e-11,1.35999639065993,1.81392672930251e-15,0.953221647970663,1.46719236250708e-09,1.23092850384996,1.82846049291368e-13,0.827006004831826,6.5051625930901e-09,1.44729912421474,6.18739734410755e-13,1.09883701389466,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",9,"Pasture_Light",4.19493636357248e-12,0.948808365452037,5.50983915309862e-16,0.448230103672879,1.86665340087652e-11,1.35999639065993,1.81392672930251e-15,0.953221647970663,1.46719236250708e-09,1.23092850384996,1.82846049291368e-13,0.827006004831826,6.5051625930901e-09,1.44729912421474,6.18739734410755e-13,1.09883701389466,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",10,"Pasture_Minimal",4.1240736549492e-12,0.949049021405202,5.38699731283673e-16,0.447498132527685,1.83356558471631e-11,1.36206826065619,1.76652908830112e-15,0.951894808616678,1.43274685188429e-09,1.23139548380825,1.77302354258811e-13,0.817373036386543,6.34855050699431e-09,1.45023050655519,5.98374217689808e-13,1.0994479067796,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",11,"Plantation_Intense",5.66920908965678e-12,0,1.82039999891054e-15,0,1.11230086641794e-11,0,3.55186787720397e-15,0,3.35662583802426e-09,0,1.08505801340043e-12,0,6.58423252540635e-09,0,2.1165423257135e-12,0,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",12,"Plantation_Light",5.66920908965678e-12,0,1.82039999891054e-15,0,1.11230086641794e-11,0,3.55186787720397e-15,0,3.35662583802426e-09,0,1.08505801340043e-12,0,6.58423252540635e-09,0,2.1165423257135e-12,0,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",13,"Plantation_Minimal",8.10629556239706e-13,0.332969933082009,1.53900751309028e-16,0.623543034301094,1.70262074972975e-12,0.280489666110792,3.36822493388364e-16,0.641705016903959,1.67088323951825e-10,0.928197003502096,2.97296188088205e-14,0.720312607869641,3.4362870937725e-10,0.717583082268759,6.42356068645986e-14,0.663979225495159,"proxy_type","proxy_type"
1,"AFG","Afghanistan","4","Animalia","Animalia",14,"Urban_Intense",3.04844272290635e-12,1.13638404702648,7.40496090042998e-16,0.474354850546962,5.05044357416413e-12,1.14201925259049,1.22418102198666e-15,0.811333640694199,1.24180705584047e-09,2.32622039249239,2.5753098622114e-13,1.15223040188334,2.04819593095156e-09,2.27281976837459,4.30678611387495e-13,1.3692364561887,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",15,"Urban_Light",2.47546937066553e-12,0.941969907290397,5.83115752849932e-16,0.499887554596734,4.46665736157727e-12,1.1517717222645,1.00215319690195e-15,0.892887679518528,8.89127228182594e-10,1.97788812220984,1.88971448146279e-13,0.992700716212871,1.57390268845329e-09,1.89688043444312,3.26014229904115e-13,1.23289675127862,"original","original"
1,"AFG","Afghanistan","4","Animalia","Animalia",16,"Urban_Minimal",1.00794605800242e-12,1.726547413016,6.57346665989643e-16,1.59853017075794,1.77273059076963e-12,3.10705053710273,1.14699282816636e-15,3.01472134191181,3.45904774871218e-10,2.29079962887278,2.24870226204941e-13,2.15630323206095,6.64185943546623e-10,3.57939053241871,4.29369683571032e-13,3.49744668393619,"original","original"
1,"AFG","Afghanistan","4","Plantae","Plantae",2,"Cropland_Intense",5.59641741913734e-12,1.54373732088185,3.4688096256633e-16,1.048760171131,1.0197007012927e-11,1.61359302514396,6.09557270002792e-16,1.00225214442982,1.84717420022383e-09,1.81519537068019,1.04929843923853e-13,1.27952704869497,3.27697387592431e-09,1.75769089618805,1.8223978122593e-13,1.16331621101695,"original","original"
1,"AFG","Afghanistan","4","Plantae","Plantae",3,"Cropland_Light",2.73294298733576e-12,1.00343619243031,2.18848465887891e-16,0.680301316625115,5.1895359247359e-12,1.00414362922093,4.03067837507128e-16,0.810588427586614,8.27900647971968e-10,1.20520389026201,6.43818373905996e-14,0.796854296620297,1.57199646482932e-09,1.15115764106978,1.19042297000025e-13,0.900151470232721,"original","original"
1,"AFG","Afghanistan","4","Plantae","Plantae",4,"Cropland_Minimal",2.29334868322683e-12,0.814564942895426,1.87764150818487e-16,0.639181444324373,4.45958336301027e-12,0.955742314972686,3.51993373715112e-16,0.819942120286575,6.79383941799561e-10,0.96440279827944,5.41837766220852e-14,0.723158720568044,1.32831281850312e-09,1.08310722899335,1.0246746317049e-13,0.905203426612774,"original","original"
1,"AFG","Afghanistan","4","Plantae","Plantae",5,"Managed_forest_Intense",2.94205995826395e-12,4.88611601262742,1.69609231812298e-16,1.17494439501408,3.66820732090522e-12,5.01085014125235,1.98518960538333e-16,1.34978034174484,1.02771982001913e-09,5.19031063593238,5.03978913545511e-14,1.64549620805127,1.28781058162819e-09,5.29115056391409,5.94761565719147e-14,1.84020945793222,"original","original"
1,"AFG","Afghanistan","4","Plantae","Plantae",6,"Managed_forest_Light",1.24813349557012e-12,3.0303035784122,1.34409924436299e-16,2.48879340967913,1.66074659213679e-12,2.94368198252353,1.87539820240163e-16,2.58773489595892,4.38097849593128e-10,3.20246235495334,4.41824107344432e-14,2.84322185068408,5.9169325565672e-10,3.07155632753227,6.40589508167904e-14,2.87597287347859,"original","original"
1,"AFG","Afghanistan","4","Plantae","Plantae",7,"Managed_forest_Minimal",4.62304533263084e-13,1.25709056321346,4.33289303051553e-17,1.19760128621527,7.74341296791858e-13,1.02562288932575,7.05527868110475e-17,1.06045080808406,1.3167676370018e-10,1.61915933575393,1.221836672022e-14,1.57558897978678,2.18498953944292e-10,1.2906953832863,1.99385390033115e-14,1.40441573408219,"original","original"
