"species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality","weighting"
"Animalia","Animalia",2,"Cropland_Intense",3.44261688980019e-12,1.64795994963845,3.12677381623114e-15,2.1269049511841,2.00450161957615e-10,19.4527943742129,1.4651003034596e-14,8.10960828600806,1.40224193905905e-09,1.65561577820544,8.92686105670048e-13,1.64027675719341,7.89549107290847e-08,19.3446094658997,4.97812306297775e-12,9.28535308574439,"original","land_use"
"Animalia","Animalia",3,"Cropland_Light",2.77221558186498e-12,1.89658226471431,3.26133309794041e-15,2.77433048677502,1.1771912882255e-11,27.2825230137735,1.09682334194173e-14,2.31896721086765,1.05697730034364e-09,1.39605133033086,8.48553210305997e-13,2.0818020716014,4.44594846082872e-09,28.3262587004645,3.04940194261774e-12,2.19060008365946,"original","land_use"
"Animalia","Animalia",4,"Cropland_Minimal",2.00210644078181e-12,3.96469648295728,3.03485629586794e-15,4.05978999830585,6.12473486934535e-12,5.34310171155584,6.45322891975985e-15,3.44559324751464,4.55291999911271e-10,4.15477695565597,4.61000091768554e-13,5.09282010424876,1.27229258061163e-09,6.53134646349818,1.00634474643402e-12,4.22368800080872,"original","land_use"
"Animalia","Animalia",5,"Managed_forest_Intense",1.3762501395854e-12,1.90767711478121,1.83023402106247e-15,1.73354758878942,2.32961513223822e-12,2.02647087242689,3.29499290078725e-15,2.12989730490992,4.58998701018917e-10,2.03530035224886,3.46413900091342e-13,1.88100809624816,7.22463921388765e-10,2.09695236333378,6.1558053194016e-13,2.22437206052713,"original","land_use"
"Animalia","Animalia",6,"Managed_forest_Light",5.01300572829038e-13,3.29256573459663,6.25171353454331e-16,6.12269372104566,7.89604170560698e-13,3.02083046182542,1.04192607561002e-15,5.9963785347445,2.5597439639322e-10,4.32700304680059,1.65136604264578e-13,3.83153593357556,3.78043273531715e-10,3.86245445883855,2.6110522856137e-13,3.93238596607105,"original","land_use"
"Animalia","Animalia",7,"Managed_forest_Minimal",1.1915616266529e-13,4.72099824748509,1.64603421631692e-16,8.070102054113,1.78348088654284e-13,4.15329033144339,2.53881445877238e-16,8.24462076642919,6.09321652454907e-11,4.62953979884907,4.47219600198821e-14,4.97307105808439,8.78372337953668e-11,4.0410268319361,6.77866893200234e-14,5.05591690636671,"original","land_use"
"Animalia","Animalia",8,"Pasture_Intense",3.4062701697754e-12,1.20653965021037,4.0469404099109e-15,2.37891008618437,1.07876834683517e-10,22.2788209847066,1.44436683780209e-14,5.9663136779611,1.54329948872847e-09,1.29703113986226,1.25082056258907e-12,1.60814661140524,4.32265610691506e-08,21.8444817171679,4.71293441314712e-12,6.99679472413195,"original","land_use"
"Animalia","Animalia",9,"Pasture_Light",2.40657206231065e-12,1.97421108227121,3.33150456309387e-15,2.23834438073241,1.21641456317963e-11,39.2131976578089,1.00499278057634e-14,2.97410572764973,7.1065340065332e-10,3.23637987854582,7.02647885504605e-13,2.11616882210262,4.13188399193093e-09,45.3446880350606,2.26855349896561e-12,3.60232927858693,"original","land_use"
"Animalia","Animalia",10,"Pasture_Minimal",2.02130786790992e-11,2.19160521247511,2.05060814619419e-15,2.86972977223279,3.64076815201883e-11,21.2551956907622,5.72764181340705e-15,5.09783341997652,1.39077736061914e-08,2.34692496547593,5.33158370263176e-13,2.34600556560548,2.13236135892078e-08,14.2160854388416,1.65992331374549e-12,6.17051489205944,"original","land_use"
"Animalia","Animalia",11,"Plantation_Intense",5.56307778517953e-12,3.60426065801426,1.16842958302892e-14,1.75548847462311,8.73972507818637e-12,2.85045504280745,1.802509591711e-14,1.59625290884997,2.39526952964497e-09,2.34080667436879,3.67171188611882e-12,1.4148257850361,3.80994869305137e-09,1.99965621534112,5.67321334226747e-12,1.30076808140974,"original","land_use"
